駅番号,路線名,駅名
H75,JR北海道函館本線,函館駅
H73,JR北海道函館本線,桔梗駅
H72,JR北海道函館本線,大中山駅
H71,JR北海道函館本線,七飯駅
H70,JR北海道函館本線,渡島大野駅
H68,JR北海道函館本線,大沼駅
H67,JR北海道函館本線,大沼公園駅
H66,JR北海道函館本線,赤井川駅
H65,JR北海道函館本線,駒ヶ岳駅
H64,JR北海道函館本線,東山駅
H63,JR北海道函館本線,姫川駅
H62,JR北海道函館本線,森駅
H61,JR北海道函館本線,桂川駅
H60,JR北海道函館本線,石谷駅
H59,JR北海道函館本線,本石倉駅
H58,JR北海道函館本線,石倉駅
H57,JR北海道函館本線,落部駅
H56,JR北海道函館本線,野田生駅
H55,JR北海道函館本線,山越駅
H54,JR北海道函館本線,八雲駅
H53,JR北海道函館本線,鷲ノ巣駅
H52,JR北海道函館本線,山崎駅
H51,JR北海道函館本線,黒岩駅
H50,JR北海道函館本線,北豊津駅
H49,JR北海道函館本線,国縫駅
H48,JR北海道函館本線,中ノ沢駅
H47,JR北海道函館本線,長万部駅
S32,JR北海道函館本線,二股駅
S31,JR北海道函館本線,蕨岱駅
S30,JR北海道函館本線,黒松内駅
S29,JR北海道函館本線,熱郛駅
S28,JR北海道函館本線,目名駅
S27,JR北海道函館本線,蘭越駅
S26,JR北海道函館本線,昆布駅
S25,JR北海道函館本線,ニセコ駅
S24,JR北海道函館本線,比羅夫駅
S23,JR北海道函館本線,倶知安駅
S22,JR北海道函館本線,小沢駅
S21,JR北海道函館本線,銀山駅
S20,JR北海道函館本線,然別駅
S19,JR北海道函館本線,仁木駅
S18,JR北海道函館本線,余市駅
S17,JR北海道函館本線,蘭島駅
S16,JR北海道函館本線,塩谷駅
S32,JR北海道函館本線,二股駅
S31,JR北海道函館本線,蕨岱駅
S30,JR北海道函館本線,黒松内駅
S29,JR北海道函館本線,熱郛駅
S28,JR北海道函館本線,目名駅
S27,JR北海道函館本線,蘭越駅
S26,JR北海道函館本線,昆布駅
S25,JR北海道函館本線,ニセコ駅
S24,JR北海道函館本線,比羅夫駅
S23,JR北海道函館本線,倶知安駅
S22,JR北海道函館本線,小沢駅
S21,JR北海道函館本線,銀山駅
S20,JR北海道函館本線,然別駅
S19,JR北海道函館本線,仁木駅
S18,JR北海道函館本線,余市駅
S17,JR北海道函館本線,蘭島駅
S16,JR北海道函館本線,塩谷駅
S15,JR北海道函館本線,小樽駅
S14,JR北海道函館本線,南小樽駅
S13,JR北海道函館本線,小樽築港駅
S12,JR北海道函館本線,朝里駅
S11,JR北海道函館本線,銭函駅
S10,JR北海道函館本線,ほしみ駅
S09,JR北海道函館本線,星置駅
S08,JR北海道函館本線,稲穂駅
S07,JR北海道函館本線,手稲駅
S06,JR北海道函館本線,稲積公園駅
S05,JR北海道函館本線,発寒駅
S04,JR北海道函館本線,発寒中央駅
S03,JR北海道函館本線,琴似駅
S02,JR北海道函館本線,桑園駅
H02,JR北海道函館本線,苗穂駅
H03,JR北海道函館本線,白石駅
A04,JR北海道函館本線,厚別駅
A05,JR北海道函館本線,森林公園駅
A06,JR北海道函館本線,大麻駅
A07,JR北海道函館本線,野幌駅
A08,JR北海道函館本線,高砂駅
A09,JR北海道函館本線,江別駅
A10,JR北海道函館本線,豊幌駅
A11,JR北海道函館本線,幌向駅
A12,JR北海道函館本線,上幌向駅
A13,JR北海道函館本線,岩見沢駅
A14,JR北海道函館本線,峰延駅
A15,JR北海道函館本線,光珠内駅
A16,JR北海道函館本線,美唄駅
A17,JR北海道函館本線,茶志内駅
A18,JR北海道函館本線,奈井江駅
A19,JR北海道函館本線,豊沼駅
A20,JR北海道函館本線,砂川駅
A21,JR北海道函館本線,滝川駅
A22,JR北海道函館本線,江部乙駅
A23,JR北海道函館本線,妹背牛駅
A24,JR北海道函館本線,深川駅
A25,JR北海道函館本線,納内駅
A26,JR北海道函館本線,伊納駅
A27,JR北海道函館本線,近文駅
A28,JR北海道函館本線,旭川駅
A21,JR北海道根室本線,滝川駅
T22,JR北海道根室本線,東滝川駅
T23,JR北海道根室本線,赤平駅◇
T24,JR北海道根室本線,茂尻駅
T25,JR北海道根室本線,平岸駅
T26,JR北海道根室本線,芦別駅
T27,JR北海道根室本線,上芦別駅
T28,JR北海道根室本線,野花南駅
T29,JR北海道根室本線,島ノ下駅
T30,JR北海道根室本線,富良野駅
T31,JR北海道根室本線,布部駅
T32,JR北海道根室本線,山部駅
T33,JR北海道根室本線,下金山駅
T34,JR北海道根室本線,金山駅
T35,JR北海道根室本線,東鹿越駅
T36,JR北海道根室本線,幾寅駅
T37,JR北海道根室本線,落合駅
K23,JR北海道根室本線,新得駅
K24,JR北海道根室本線,十勝清水駅
K25,JR北海道根室本線,羽帯駅
K26,JR北海道根室本線,御影駅
K27,JR北海道根室本線,芽室駅
K28,JR北海道根室本線,大成駅
K29,JR北海道根室本線,西帯広駅
K30,JR北海道根室本線,柏林台駅
K31,JR北海道根室本線,帯広駅
K32,JR北海道根室本線,札内駅
K33,JR北海道根室本線,稲士別駅
K34,JR北海道根室本線,幕別駅
K35,JR北海道根室本線,利別駅
K36,JR北海道根室本線,池田駅
K37,JR北海道根室本線,十弗駅
K38,JR北海道根室本線,豊頃駅
K39,JR北海道根室本線,新吉野駅
K40,JR北海道根室本線,浦幌駅
K41,JR北海道根室本線,上厚内駅
K42,JR北海道根室本線,厚内駅
K43,JR北海道根室本線,直別駅
K44,JR北海道根室本線,尺別駅
K45,JR北海道根室本線,音別駅
K46,JR北海道根室本線,古瀬駅
K47,JR北海道根室本線,白糠駅
K48,JR北海道根室本線,西庶路駅
K49,JR北海道根室本線,庶路駅
K50,JR北海道根室本線,大楽毛駅
K51,JR北海道根室本線,新大楽毛駅
K52,JR北海道根室本線,新富士駅
K53,JR北海道根室本線,釧路駅
B54,JR北海道根室本線,東釧路駅
H18,JR北海道千歳線,苫小牧駅
H17,JR北海道千歳線,沼ノ端駅
H16,JR北海道千歳線,植苗駅
H15,JR北海道千歳線,美々駅
AP15,JR北海道千歳線,新千歳空港駅
H14,JR北海道千歳線,南千歳駅
H13,JR北海道千歳線,千歳駅
H12,JR北海道千歳線,長都駅
H11,JR北海道千歳線,サッポロビール庭園駅
H10,JR北海道千歳線,恵庭駅
H09,JR北海道千歳線,恵み野駅
H08,JR北海道千歳線,島松駅
H07,JR北海道千歳線,北広島駅
H06,JR北海道千歳線,上野幌駅
H05,JR北海道千歳線,新札幌駅
H04,JR北海道千歳線,平和駅
H03,JR北海道千歳線,白石駅
H02,JR北海道千歳線,苗穂駅
H47,JR北海道室蘭本線,長万部駅
H46,JR北海道室蘭本線,静狩駅
H45,JR北海道室蘭本線,小幌駅
H44,JR北海道室蘭本線,礼文駅
H43,JR北海道室蘭本線,大岸駅
H42,JR北海道室蘭本線,豊浦駅
H41,JR北海道室蘭本線,洞爺駅
H40,JR北海道室蘭本線,有珠駅
H39,JR北海道室蘭本線,長和駅
H38,JR北海道室蘭本線,伊達紋別駅
H37,JR北海道室蘭本線,北舟岡駅
H36,JR北海道室蘭本線,稀府駅
H35,JR北海道室蘭本線,黄金駅
H34,JR北海道室蘭本線,崎守駅
H33,JR北海道室蘭本線,本輪西駅
H31,JR北海道室蘭本線,鷲別駅
H30,JR北海道室蘭本線,幌別駅
H29,JR北海道室蘭本線,富浦駅
H28,JR北海道室蘭本線,登別駅
H27,JR北海道室蘭本線,虎杖浜駅
H26,JR北海道室蘭本線,竹浦駅
H25,JR北海道室蘭本線,北吉原駅
H24,JR北海道室蘭本線,萩野駅
H23,JR北海道室蘭本線,白老駅
H22,JR北海道室蘭本線,社台駅
H21,JR北海道室蘭本線,錦岡駅
H20,JR北海道室蘭本線,糸井駅
H19,JR北海道室蘭本線,青葉駅
H18,JR北海道室蘭本線,苫小牧駅
H17,JR北海道室蘭本線,沼ノ端駅
K15,JR北海道室蘭本線,追分駅
A13,JR北海道室蘭本線,岩見沢駅
H32,JR北海道室蘭本線,東室蘭駅
M33,JR北海道室蘭本線,輪西駅
M34,JR北海道室蘭本線,御崎駅
M35,JR北海道室蘭本線,母恋駅
M36,JR北海道室蘭本線,室蘭駅
H14,JR北海道石勝線,南千歳駅
K15,JR北海道石勝線,追分駅
K16,JR北海道石勝線,東追分駅
K17,JR北海道石勝線,川端駅
K18,JR北海道石勝線,滝ノ上駅
K19,JR北海道石勝線,十三里駅
K20,JR北海道石勝線,新夕張駅
K21,JR北海道石勝線,占冠駅
K22,JR北海道石勝線,トマム駅
K23,JR北海道石勝線,新得駅
K20,JR北海道石勝線,新夕張駅
Y21,JR北海道石勝線,沼ノ沢駅
Y22,JR北海道石勝線,南清水沢駅
Y23,JR北海道石勝線,清水沢駅
Y24,JR北海道石勝線,鹿ノ谷駅
Y25,JR北海道石勝線,夕張駅
A28,JR北海道富良野線,旭川駅
F29,JR北海道富良野線,神楽岡駅
F30,JR北海道富良野線,緑が丘駅
F31,JR北海道富良野線,西御料駅
F32,JR北海道富良野線,西瑞穂駅
F33,JR北海道富良野線,西神楽駅
F34,JR北海道富良野線,西聖和駅
F35,JR北海道富良野線,千代ヶ岡駅
F36,JR北海道富良野線,北美瑛駅
F37,JR北海道富良野線,美瑛駅
F38,JR北海道富良野線,美馬牛駅
F39,JR北海道富良野線,上富良野駅
F40,JR北海道富良野線,西中駅
F41,JR北海道富良野線,ラベンダー畑駅
F42,JR北海道富良野線,中富良野駅
F43,JR北海道富良野線,鹿討駅
F44,JR北海道富良野線,学田駅
T30,JR北海道富良野線,富良野駅
A24,JR北海道留萌本線,深川駅
A28,JR北海道宗谷本線,旭川駅
A29,JR北海道宗谷本線,旭川四条駅
A30,JR北海道宗谷本線,新旭川駅
W32,JR北海道宗谷本線,北永山駅
W33,JR北海道宗谷本線,南比布駅
W34,JR北海道宗谷本線,比布駅
W35,JR北海道宗谷本線,北比布駅
W36,JR北海道宗谷本線,蘭留駅
W37,JR北海道宗谷本線,塩狩駅
W38,JR北海道宗谷本線,和寒駅
W39,JR北海道宗谷本線,東六線駅
W40,JR北海道宗谷本線,剣淵駅
W41,JR北海道宗谷本線,北剣淵駅
W42,JR北海道宗谷本線,士別駅
W43,JR北海道宗谷本線,下士別駅
W44,JR北海道宗谷本線,多寄駅
W45,JR北海道宗谷本線,瑞穂駅
W46,JR北海道宗谷本線,風連駅
W47,JR北海道宗谷本線,東風連駅
W48,JR北海道宗谷本線,名寄駅
W49,JR北海道宗谷本線,日進駅
W50,JR北海道宗谷本線,北星駅
W51,JR北海道宗谷本線,智恵文駅
W52,JR北海道宗谷本線,智北駅
W53,JR北海道宗谷本線,南美深駅
W54,JR北海道宗谷本線,美深駅
W55,JR北海道宗谷本線,初野駅
W56,JR北海道宗谷本線,紋穂内駅
W57,JR北海道宗谷本線,恩根内駅
W58,JR北海道宗谷本線,豊清水駅
W59,JR北海道宗谷本線,天塩川温泉駅
W60,JR北海道宗谷本線,咲来駅
W61,JR北海道宗谷本線,音威子府駅
